,in_nyc,Provider ID,fac_id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
122,FALSE,330234,1139,WESTCHESTER MEDICAL CENTER,100 WOODS RD,VALHALLA,NY,10595,WESTCHESTER,9144937000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"100 WOODS RD VALHALLA, NY (41.08768, -73.803897)"
123,FALSE,330008,1153,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,5857862233,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"400 NORTH MAIN STREET WARSAW, NY (42.753447, -78.132533)"
124,TRUE,330009,1164,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,2125887000,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1276 FULTON AVENUE BRONX, NY (40.83175, -73.903756)"
125,TRUE,330127,1165,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,BRONX,7189185000,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"1400 PELHAM PARKWAY SOUTH BRONX, NY (40.857455, -73.84721)"
126,TRUE,330059,1169,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,7189204321,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"111 EAST 210TH STREET BRONX, NY (40.879777, -73.879975)"
127,TRUE,330080,1172,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,BRONX,7185795000,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"234 EAST 149TH STREET BRONX, NY (40.817681, -73.924072)"
128,TRUE,330399,1176,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,BRONX,2129609000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"4422 THIRD AVENUE BRONX, NY (40.85277, -73.892168)"
129,TRUE,330385,1186,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,BRONX,2125195000,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"3424 KOSSUTH AVENUE &amp; 210TH STREET BRONX, NY"
130,TRUE,330233,1286,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,11212,KINGS,7182405966,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"1 BROOKDALE PLAZA BROOKLYN, NY (40.6545, -73.91275)"
131,TRUE,330056,1288,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,NY,11201,KINGS,7182508000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"121 DEKALB AVENUE BROOKLYN, NY (40.689785, -73.9774)"
132,TRUE,330019,1293,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,7186925302,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"2525 KINGS HIGHWAY BROOKLYN, NY (40.613783, -73.948321)"
133,TRUE,330196,1294,CONEY ISLAND HOSPITAL,2601 OCEAN PARKWAY,BROOKLYN,NY,11235,KINGS,7186163000,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"2601 OCEAN PARKWAY BROOKLYN, NY (40.58494, -73.966285)"
134,TRUE,330202,1301,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVENUE,BROOKLYN,NY,11203,KINGS,7182453901,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"451 CLARKSON AVENUE BROOKLYN, NY (40.655773, -73.944039)"
135,TRUE,330194,1305,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,NY,11219,KINGS,7182836000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"4802 TENTH AVENUE BROOKLYN, NY (40.63908, -73.998668)"
136,TRUE,330236,1306,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,NY,11215,KINGS,7187803000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"506 SIXTH STREET BROOKLYN, NY (40.668263, -73.979141)"
137,TRUE,330397,1309,INTERFAITH MEDICAL CENTER,1545 ATLANTIC AVENUE,BROOKLYN,NY,11213,KINGS,7186134000,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1545 ATLANTIC AVENUE BROOKLYN, NY (40.677866, -73.937154)"
138,TRUE,330201,1315,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,NY,11203,KINGS,7186045789,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"585 SCHENECTADY AVENUE BROOKLYN, NY (40.658929, -73.934072)"
139,TRUE,330221,1318,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,7189637272,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"374 STOCKHOLM STREET BROOKLYN, NY (40.704699, -73.917648)"
140,TRUE,330350,1320,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),445 LENOX ROAD,BROOKLYN,NY,11203,KINGS,7182701000,Acute Care Hospitals,Government - State,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"445 LENOX ROAD BROOKLYN, NY (40.654457, -73.94516)"
141,TRUE,330204,1438,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,NEW YORK,NY,10016,NEW YORK,2125614132,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"462 FIRST AVENUE NEW YORK, NY (40.740079, -73.97625)"
142,TRUE,330169,1439,MOUNT SINAI BETH ISRAEL,FIRST AVENUE AT 16TH STREET,NEW YORK,NY,10003,NEW YORK,2124202000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"FIRST AVENUE AT 16TH STREET NEW YORK, NY (40.732665, -73.9816)"
143,TRUE,330240,1445,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,10037,NEW YORK,2124918400,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"506 LENOX AVENUE NEW YORK, NY (40.814482, -73.940495)"
144,TRUE,330270,1447,HOSPITAL FOR SPECIAL SURGERY,535 EAST 70TH STREET,NEW YORK,NY,10021,NEW YORK,2126061000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,"535 EAST 70TH STREET NEW YORK, NY (40.764866, -73.953128)"
145,TRUE,330119,1450,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,10021,NEW YORK,2124392345,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"100 EAST 77TH STREET NEW YORK, NY (40.773964, -73.960611)"
146,TRUE,330199,1454,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,2124236262,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"1901 FIRST AVENUE NEW YORK, NY (40.78472, -73.943636)"
147,TRUE,330024,1456,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"ONE GUSTAVE L LEVY PLACE NEW YORK, NY"
148,TRUE,330101,1458,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,NY,10065,NEW YORK,2127465454,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"525 EAST 68TH STREET NEW YORK, NY (40.76415, -73.954335)"
149,TRUE,330100,1460,N Y EYE AND EAR INFIRMARY,230 SECOND AVE,NEW YORK,NY,10003,NEW YORK,2129794000,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"230 SECOND AVE NEW YORK, NY (40.732559, -73.984816)"
150,TRUE,330214,1463,NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,NY,10016,NEW YORK,2122637300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"550 FIRST AVENUE NEW YORK, NY (40.74226, -73.974661)"
151,TRUE,330387,1465,ROCKEFELLER UNIVERSITY HOSPITAL,1230 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,2125708000,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"1230 YORK AVENUE NEW YORK, NY (40.763049, -73.956535)"
152,TRUE,330046,1466,MOUNT SINAI WEST,1000 TENTH AVENUE,NEW YORK,NY,10019,NEW YORK,2125234000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1000 TENTH AVENUE NEW YORK, NY (40.770129, -73.987846)"
153,TRUE,330128,1626,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,ELMHURST,NY,11373,QUEENS,7183341141,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"79-01 BROADWAY ELMHURST, NY (40.74434, -73.88598)"
154,TRUE,330193,1628,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,11355,QUEENS,7186705000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"45TH AVENUE AND PARSONS BOULEVARD FLUSHING, NY (40.755636, -73.815645)"
155,TRUE,330014,1629,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,QUEENS,7182626000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"89TH AVENUE AND VAN WYCK EXPRESSWAY JAMAICA, NY (40.701412, -73.816302)"
156,TRUE,330195,1630,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,QUEENS,7184707000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,"270 - 05 76TH AVENUE NEW HYDE PARK, NY"
157,TRUE,330231,1633,QUEENS HOSPITAL CENTER,82-68 164TH STREET,JAMAICA,NY,11432,QUEENS,7188833000,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"82-68 164TH STREET JAMAICA, NY (40.71698, -73.803431)"
158,TRUE,330395,1635,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,NY,11691,QUEENS,7188697000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"327 BEACH 19TH STREET FAR ROCKAWAY, NY (40.598675, -73.75268)"
159,TRUE,330055,1637,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,7186702000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"56-45 MAIN STREET FLUSHING, NY"
160,TRUE,330396,1692,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,KINGS,7189638100,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"760 BROADWAY BROOKLYN, NY (40.700512, -73.941557)"
161,TRUE,330028,1738,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10304,RICHMOND,7188181234,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"355 BARD AVENUE STATEN ISLAND, NY (40.63551, -74.106693)"
162,TRUE,330160,1740,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,RICHMOND,7182269000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"475 SEAVIEW AVENUE STATEN ISLAND, NY (40.584082, -74.087013)"
163,FALSE,330408,6013,TRI-TOWN REGIONAL HEALTHCARE,43 WEST PEARL STREET,SIDNEY,NY,13838,DELAWARE,6075637080,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"43 WEST PEARL STREET SIDNEY, NY (42.304648, -75.395684)"
164,FALSE,330409,9250,BURDETT CARE CENTER,2215 BURDETT AVE,TROY,NY,12180,RENSSELAER,5182713655,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"2215 BURDETT AVE TROY, NY (42.733395, -73.671434)"
165,FALSE,330268,10216,COBLESKILL REGIONAL HOSPITAL,178 GRANDVIEW DRIVE,COBLESKILL,NY,12043,SCHOHARIE,5182543456,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"178 GRANDVIEW DRIVE COBLESKILL, NY (42.686224, -74.482987)"
166,FALSE,331307,,CLIFTON FINE HOSPITAL,1014 OSWEGATCHIE TRAIL,STAR LAKE,NY,13690,ST. LAWRENCE,3158483351,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1014 OSWEGATCHIE TRAIL STAR LAKE, NY (44.16292, -75.055931)"
167,FALSE,331304,,MARGARETVILLE MEMORIAL HOSPITAL,42084 STATE HIGHWAY 28,MARGARETVILLE,NY,12455,DELAWARE,8455862631,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,"42084 STATE HIGHWAY 28 MARGARETVILLE, NY (42.147654, -74.642629)"
168,FALSE,331306,,MOSES-LUDINGTON HOSPITAL,1019 WICKER STREET,TICONDEROGA,NY,12883,ESSEX,5185853700,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,"1019 WICKER STREET TICONDEROGA, NY (43.849591, -73.435579)"
169,FALSE,331314,,SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES,418 NORTH MAIN STREET,PENN YAN,NY,14527,YATES,3157874175,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"418 NORTH MAIN STREET PENN YAN, NY (42.670468, -77.059591)"
