The Brooklyn Hospital Center,,,
Charge Master Pricing,,,
,,,
The charges listed are generally not the amount a patient will pay.,,,
,,,
Charge No,Charge Description, Standard Charges ,Comment
04031036,MITOCHONDRIAL ANTIBODIES SCREE, 309.19 ,
04031039,SCLERODERMA ANTIBODY, 284.77 ,
04031041,SJOGRENS ANTIBODIES, 313.96 ,
04031042,EXTRACTABLE NUCLEAR ANTIGEN, 284.77 ,
04031049,ENA - SM, 313.96 ,
04031082,CRP QUANTITATION, 172.45 ,
04031115,TYPHUS FEVER AB SCREEN, 313.81 ,
04031118,INHIBIN A (PART OF MATERNAL SC, 165.75 ,
04031119,RAST RYE, 151.84 ,
04031122,RAST GLUTEN, 151.84 ,
04031123,RAST MELON, 151.84 ,
04031252,HEP C HCV RNA QUANT PCR," 1,159.12 ",
04032048,HERPES SIMPLEX 1 IGG AB, 318.40 ,
04032049,HERPES SIMPLEX TYPE 1 IGG AB, 318.40 ,
04032050,PREGNENOLONE, 173.62 ,
04032051,17-OH PREGNENOLONE, 187.46 ,
04032052,EPSTEIN-BARR VIRUS CAPSID AG I, 283.45 ,
04032053,EPSTEIN-BARR VIRUS CAPSID AG I, 283.45 ,
04032054,CORTICOTROPIN RELEASING HORMON, 417.75 ,
04032055,RANDOM URINE PROTEIN, 361.95 ,
04032056,RANDOM URINE CREATININE, 138.04 ,
53400301,BLOOD GAS STUDIES, 293.88 ,
53400302,ALCOHOL, 144.17 ,
53400303,BARBITURATE, 164.00 ,
53400304,CARBAMAZEPINE, 174.83 ,
53400305,DIGOXIN, 145.95 ,
53400306,DIPHENYLHYDANTOIN, 145.81 ,
53400307,DRUG SCREEN HYP SED-EVAL, 180.84 ,
53400308,ETHOSUXIMIDE, 102.45 ,
53400309,GENTAMICIN (PEAK), 119.96 ,
53400310,GLUTETHEMIDE, 37.20 ,
53400311,LEAD, 230.07 ,
53400312,PRIMADONE/PHENOBARB, 170.08 ,
53400314,SALICYLATE, 121.51 ,
53400315,THEOPHYLLINE, 175.16 ,
53400316,ELECTROLYTE PANEL, 100.14 ,
53400317,CALCIUM, 68.13 ,
53400318,CHLORIDE SERUM, 81.29 ,
53400319,CARBON DIOXIDE, 84.35 ,
53400320,LITHIUM, 113.43 ,
53400321,MAGNESIUM, 96.12 ,
53400322,OSMOLALITY SERUM, 114.75 ,
53400323,PHOSPHATE, 66.56 ,
53400324,POTASSIUM SERUM, 71.40 ,
53400325,"SODIUM, SERUM", 82.83 ,
53400326,AMYLASE, 109.38 ,
53400327,CREATINE KINASE (TOTAL), 89.40 ,
53400328,CPK ISOENZYMES, 230.30 ,
53400329,LIPASE, 254.61 ,
53400330,LDH, 105.81 ,
53400333,PHOSPHATASE ACID PROST, 49.59 ,
53400334,PHOSPHATASE ALKALINE, 92.03 ,
53400335,RENIN SUPINE, 242.91 ,
53400337,SGOT KINETIC, 153.38 ,
53400338,SGPT KINETIC, 153.38 ,
53400340,ALDOSTERONE, 371.00 ,
53400341,CEA, 233.98 ,
53400342,CORTISOL (TOTAL), 224.30 ,
53400343,ESTRIOL RIA, 327.20 ,
53400344,FSH, 411.03 ,
53400345,GASTRIN, 182.52 ,
53400346,URINE HCG QUAL, 250.01 ,
53400347,HUMAN GROWTH HORMONE, 124.23 ,
53400348,INSULIN TOTAL, 225.46 ,
53400349,LUTEINIZING HORMONE (LH), 296.00 ,
53400350,PARATHYROID HORMONE, 608.88 ,
53400351,PROLACTIN, 361.95 ,
53400352,T3 TOTAL, 203.96 ,
53400353,T4 TOTAL, 207.07 ,
53400354,T4 FREE, 250.01 ,
53400355,TSH, 412.57 ,
53400356,TESTOSTERONE TOTAL, 411.14 ,
53400357,PHENOBARBITAL, 169.92 ,
53400359,PTH - INTACT, 608.88 ,
53400363,DHEA, 326.46 ,
53400364,CALCITONIN, 205.76 ,
53400365,CATECHOLAMINES FRACTION, 302.25 ,
53400366,11-DEOXYCORTIROL, 131.12 ,
53400367,TOBRAMYCIN (PEAK), 191.02 ,
53400368,TOBRAMYCIN (TROUGH), 191.02 ,
53400369,GENTAMICIN (TROUGH), 119.96 ,
53400370,ANGIOTENSIN CONV. ENZYME, 204.32 ,
53400371,HYDROXYPROGESTERONE 17-D, 155.88 ,
53400372,FREE TESTOSTERONE, 280.67 ,
53400373,ALKALINE PHOSPHATASE ISO, 167.99 ,
53400374,VALPORIC ACID (DEKAPENE), 133.46 ,
53400378,AMIKACIN PEAK, 152.89 ,
53400379,AMIKACIN TROUGH, 152.89 ,
53400381,SOMATOMEDIN, 347.79 ,
53400382,TRANFERRIN, 210.43 ,
53400383,VACOMYCIN LEVEL, 230.42 ,
53400384,VASOPRESSIN, 174.81 ,
53400385,CK (MB FRACTION ONLY), 101.28 ,
53400386,PROSTATIC SPEC ANTIGEN, 292.29 ,
53400387,ZINC (PLASMA), 128.47 ,
53400388,SERUM TRYPTASE, 483.58 ,
53400390,FLURAZEPAM, 73.16 ,
53400392,AMITRIPTYLINE & NORTRIPTYLINE, 157.12 ,
53400393,SEX HRMNE BINDNG GLOBULIN, 121.69 ,
53400394,"FREE T4, EQUILIB DIALYSIS", 250.01 ,
53400395,BETA 2 MICROGLOBULIN, 188.75 ,
53400400,T LYMPHOCYTES SUBSETS, 541.40 ,
53400401,ACETONE, 64.93 ,
53400402,SPINAL FLUID CHLORIDE, 109.57 ,
53400403,AMMONIA, 193.00 ,
53400404,BILIRUBIN TOTAL, 98.87 ,
53400405,BILIRUBIN DIRECT, 90.48 ,
53400407,BUN, 82.83 ,
53400409,CHOLESTEROL TOTAL, 82.83 ,
53400410,COMPLIMENT C3, 235.82 ,
53400412,CREATININE SERUM, 125.77 ,
53400413,FERRITIN, 262.27 ,
53400414,FOLIC ACID SERUM, 217.34 ,
53400415,FOLIC ACID (RBC), 358.90 ,
53400416,GLUCOSE FASTING BLOOD, 90.48 ,
53400417,GLUCOSE 2HR PP, 115.03 ,
53400418,HDL CHOLESTEROL, 83.71 ,
53400420,HEPATITIS B SURFACE ANTIBODY, 194.79 ,
53400422,IRON, 81.98 ,
53400423,IRON BINDING CAPACITY, 203.96 ,
53400424,LACTIC ACID, 147.49 ,
53400425,LIPID PANEL, 402.03 ,
53400428,TRIGLYCERIDE, 115.03 ,
53400429,URIC ACID, 66.10 ,
53400430,ALBUMIN, 82.83 ,
53400431,ANTI TRYPSIN TOTAL, 210.12 ,
53400432,ALPHA-FETOPROTIEN;SERUM, 278.15 ,
53400433,FIBRINOGEN, 76.04 ,
53400435,IMMUNOELECTROPHORESIS SERUM, 432.37 ,
53400436,IGA, 214.74 ,
53400437,IGD, 214.74 ,
53400438,IGE, 314.11 ,
53400439,IGG, 214.74 ,
53400440,IGM, 214.74 ,
53400442,PROTEIN ELECTROPHORESIS SERUM, 216.92 ,
53400443,PROTEIN TOTAL SERUM, 100.26 ,
53400445,PROTEIN ELECTROPHORESIS CSF, 177.55 ,
53400448,VITAMIN A, 137.02 ,
53400449,VITAMIN B 1, 215.31 ,
53400450,VITAMIN B 6, 289.97 ,
53400451,VITAMIN B 12, 255.83 ,
53400452,VITAMIN C, 126.80 ,
53400453,CAROTENE, 103.28 ,
53400454,L/S RATIO, 105.91 ,
53400456,CREATININE URINE, 125.20 ,
53400466,GROWTH HORMONE TOL 10, 793.64 ,
53400491,INSULIN ANTIBODIES, 256.22 ,
53400492,ALDOLASE, 160.59 ,
53400493,ACTH, 370.16 ,
53400494,5-NUCLEOTIDASE, 213.09 ,
53400495,HEPATITIS A IGG, 176.38 ,
53400496,CARBOXYHEMOGLOBIN, 128.52 ,
53400497,HEPATITIS B CORE AB TOTAL, 194.79 ,
53400498,MYELIN BASIC PROTEIN CSF, 183.02 ,
53400499,VITAMIN E, 200.56 ,
53400501,ACETONE, 58.88 ,
53400503,ALDOSTERONE, 371.00 ,
53400504,AMINO ACID SCREEN, 114.69 ,
53400505,AMYLASE 24 HOURS URINE, 109.38 ,
53400509,CALCIUM 24 HOUR URINE, 84.16 ,
53400512,CREATINE MG/24 HR, 101.17 ,
53400513,CREATININE GM/24 HR OTHR SRC, 138.04 ,
53400514,CREATININE CLEARANCE, 119.26 ,
53400515,CYSTINE QUAL URINE, 331.94 ,
53400516,DELTA AMINOLEVULINIC ACID, 273.39 ,
53400518,ESTRIOL, 225.46 ,
53400520,ESTRADIOL, 363.48 ,
53400526,HOMOVANILLIC ACID 24 HR, 170.11 ,
53400533,"METANEPHRINE TOTAL, 24HR URINE", 361.35 ,
53400534,"OXALATE, 24HR URINE", 172.02 ,
53400535,PHOSPHORUS 24HR URINE, 64.71 ,
53400537,POTASSIUM 24HR URINE, 18.41 ,
53400540,PROGESTERONE, 294.49 ,
53400541,PROTEIN 24 HOUR URINE, 82.83 ,
53400542,ALBUMIN 24 HOUR, 73.58 ,
53400544,PROTEIN ELECTROPHORESIS, 216.92 ,
53400545,PORPHYRINE QUAL, 52.45 ,
53400548,PORPHOBILINOGEN, 45.87 ,
53400549,"OSMOLALITY, URINE", 131.03 ,
53400551,SEROTONIN 5 HIAA 24 HOUR, 143.56 ,
53400552,"SODIUM, URINE", 58.41 ,
53400554,UROBILINOGEN EHRLICH 2 HR, 9.82 ,
53400555,URIC ACID 24 HOUR URINE, 70.03 ,
53400556,VMA 24 HOUR URINE, 193.96 ,
53400557,FECAL OCCULT BLOOD, 127.91 ,
53400558,FECAL FAT QUAL, 189.08 ,
53400559,FECAL FAT QUANT, 122.49 ,
53400560,DRUG ABUSE SCRN (QUAL/UR), 133.66 ,
53400561,CHLORIDE- URINE, 39.74 ,
53400562,CORTISOL (FREE), 295.95 ,
53400563,"REDUCING SUBSTANCES, URINE", 41.10 ,
53400564,72 HR. STOOL FOR FAT, 151.88 ,
53400566,MYOGLOBIN URINE, 234.36 ,
53400567,DRUG OD EVAL (QUAL/URINE), 180.84 ,
53400569,DRUG SCREEN COMPREHEN.URINE, 180.84 ,
53400570,DRUG SCREEN COMPRE. GASTRIC, 180.84 ,
53400571,DRUG ABUSE URINE CONF. BY TLC, 148.07 ,
53400572,CANCER ANTIGEN - 125, 290.82 ,
53400574,UREA NITROGEN - 24 HOUR, 73.11 ,
53400576,LEAD 24-HOUR URINE, 230.07 ,
53400577,IMUNOFIXATION IFE (URINE), 275.51 ,
53400578,URINE AMITRYPTYLINE, 133.66 ,
53400580,COPPER (URINE), 153.57 ,
53400598,URINALYSIS  MICROSCOPY, 96.67 ,
53400599,URINALYSIS, 80.47 ,
53400601,GLUCOSE TOL 3 SPECIMENS, 155.88 ,
53400602,GLUCOSE TOL 4 SPECIMENS, 48.14 ,
53400613,INTRINSIC FACTOR ANTIBOD, 152.96 ,
53400614,ERYTHRPOIETIN, 305.95 ,
53400615,HEPATITIS B SURFACE AG, 194.79 ,
53400616,COMPLEMENT C4, 235.82 ,
53400617,TBG, 150.75 ,
53400618,IGG/ALB, 157.44 ,
53400619,VITAMIN D-25 OH, 340.88 ,
53400620,VITAMIN D-125, 324.87 ,
53400621,COMPLEMENT CH-50, 182.68 ,
53400623,COMPLEMENT 5, 235.82 ,
53400625,GGTP, 113.76 ,
53400626,GLUCOGON, 170.11 ,
53400628,DIRECT MEASUREMENT LDL CHOLEST, 125.77 ,
53400629,PHOSPHATIGLYCEROL, 33.56 ,
53400642,HEPATITIS BE ANTIGEN, 128.85 ,
53400643,HEPATITIS BE ANTIBODY, 185.92 ,
53400644,HEPATITIS B CORE IGM ANTIBODY, 217.80 ,
53400645,"MYOGLOBULIN, SERUM", 234.36 ,
53400646,DIAZEPAM (VALIUM), 140.54 ,
53400648,ACETAMINOPHEN (TYLENOL), 234.78 ,
53400652,C-PEPTIDE, 281.15 ,
53400653,HEPATITIS C ANTIBODY, 333.12 ,
53400654,HEMOGLOBIN A1C, 183.51 ,
53400655,COPPER (SERUM), 153.57 ,
53400660,CERULOPLASMIN, 145.71 ,
53400663,CSF LDH, 105.81 ,
53400664,CSF IGG, 214.74 ,
53400667,FLUID LDH, 105.81 ,
53400668,FLUID AMYLASE, 109.38 ,
53400669,FLUID BATTERY (OTHER), 84.49 ,
53400670,SPINAL FLUID ANALYSIS, 176.39 ,
53400671,LIPID PANEL, 443.24 ,
53400672,CREAT/PROT RATIO (URINE), 103.96 ,
53400673,11 - DEOXYCORTISOL, 131.12 ,
53400674,DHEA - SULFATE, 262.27 ,
53400675,DHEA, 359.92 ,
53400676,ANDROSTENDIONE, 273.39 ,
53400679,ESTRONE, 301.54 ,
53400680,DIHYDROTESTOSTERONE, 115.61 ,
53400683,IMUNOFIXATION IFE (SERUM), 276.23 ,
53400684,FLUID PH, 84.49 ,
53400685,I HR. GLUCOSE CHALLENGE, 90.48 ,
53400686,METHEMOGLOBIN, 91.77 ,
53400687,ALUMINUM SERUM, 223.38 ,
53400688,"ALUMINUS, PLASMA", 246.27 ,
53400689,AMIODARONE & METABOLITE, 225.26 ,
53400690,"AMINO ACID SCRN, PLASMA", 303.77 ,
53400691,"AMINO ACID FRACT,24HR UR QUANT", 303.77 ,
53400692,"ARSENIC, BLOOD", 228.13 ,
53400696,BENADRYL, 225.26 ,
53400698,"XYLOSE, BLOOD", 81.42 ,
53400699,CA 15-3, 239.58 ,
53400700,CA 19-9, 292.63 ,
53400701,COMP C1 INHIBITOR, 235.82 ,
53400702,COMPLEMENT C1Q, 235.82 ,
53400703,COMPLEMENT C2, 235.82 ,
53400704,COMPLEMENT C6, 235.82 ,
53400705,SQUAMOUS CELL CANCER, 162.82 ,
53400709,"CALCIUM, IONIZED", 124.21 ,
53400710,CARNITINE, 193.24 ,
53400711,COMPL C3 ACTIVATOR, 189.11 ,
53400713,"CITRIC ACID, 34HR URINE", 364.28 ,
53400714,CLONAZEPAM, 140.54 ,
53400716,"COCAINE + METABOLITE, SER", 154.52 ,
53400719,CYANIDE, 152.08 ,
53400723,DENGUE VIRUS AB, 163.89 ,
53400726,"ESTROGEN, FRACT SER", 289.25 ,
53400727,"ESTROGEN TOTAL, SER", 229.84 ,
53400730,FRUCTOSAMINE, 155.46 ,
53400731,FREE T3, 407.02 ,
53400732,HEPATITIS B VIRUS DNA PCR," 1,196.13 ",
53400733,HEPATITIS D ANTIBODY, 139.73 ,
53400734,CSF MYCELIAL AB, 97.21 ,
53400735,"HEAVY METALS EVAL, BLOOD", 224.79 ,
53400737,HOMOCYSTINE, 346.80 ,
53400739,IBUPROFEN, 225.26 ,
53400742,INTERLEUCKIN, 194.64 ,
53400743,JO-1 ANTIBODY, 313.96 ,
53400744,LORAZEPAM, 140.54 ,
53400746,"LYSOZYME,SERUM", 166.46 ,
53400747,"LYSOZYME, URINE", 151.88 ,
53400748,"MICROALBUMIN, UR", 210.12 ,
53400749,"MERCURY, 24HR UR", 203.50 ,
53400750,METHYLMALONIC ACID (SERUM), 362.79 ,
53400751,METANEPHRINES FCT 24HR UR, 327.75 ,
53400754,MUMPS IGM ANTIBODY, 229.50 ,
53400755,MUMPS IGG ANTIBODY, 229.50 ,
53400758,NICOTINE, 102.55 ,
53400760,ORGANIC ACIDS SERUM, 372.00 ,
53400762,PSEUDOCHOLINESTERASE, 91.13 ,
53400763,HEPATITIS C PCR," 1,051.37 ",
53400764,PHOSPHOLIPID, 100.82 ,
53400765,PYRUVATE KINASE, 182.26 ,
53400766,PLASMINOGEN ANTIGEN 1 C ASSAY, 91.13 ,
53400768,RETICULIN ANTIBODIES SCREEN, 309.19 ,
53400774,"LIPIDS, STOOL QUANT", 151.88 ,
53400776,SOMATOMEDIN C, 383.43 ,
53400777,STOOL PH, 84.49 ,
53400778,"CHLORIDE, STOOL", 120.82 ,
53400779,"POTASSIUM, STOOL", 483.58 ,
53400780,"SODIUM, STOOL", 483.58 ,
53400781,T3 REVERSE, 190.51 ,
53400782,T3 UPTAKE OR T4 UPTAKE, 200.80 ,
53400784,TETANUS ANTIBODIES, 162.88 ,
53400785,THYROGLOBULIN AB, 452.47 ,
53400790,"MAGNESIUM , 24HR UR", 101.61 ,
53400791,ORGANIC ACID URINE, 410.13 ,
53400792,VIP, 181.99 ,
53400793,CSF IMMUNOFIXATION, 275.51 ,
53400794,STOOL REDUCING SUBSTANCE, 30.81 ,
53400795,RAST EGG WHITE, 151.84 ,
53400796,RAST EGG YOLK, 151.84 ,
53400798,RAST G DOMESTICUS, 151.84 ,
53400799,RAST GOOSE FEATHERS, 151.84 ,
53400802,RAST MOLD GROUP, 151.84 ,
53400803,RAST MILK, 151.84 ,
53400807,RAST PEANUT, 151.84 ,
53400808,RAST REG 1 TREES, 151.84 ,
53400810,RAST REG1 GRASS, 151.84 ,
53400811,RAST SEAFOOD GROUP, 151.84 ,
53400814,RAST STORAGE MITE, 151.84 ,
53400815,RAST SHRIMP, 151.84 ,
53400816,RAST SW VERNAL, 151.84 ,
53400817,RAST VEGATABLE GROUP, 151.84 ,
53400821,RAST ASCARIS, 151.84 ,
53400822,RAST ANIMAL GROUP, 151.84 ,
53400824,RAST RICE, 151.84 ,
53400825,RAST BEEF, 151.84 ,
53400826,RAST CASEIN, 151.84 ,
53400827,EAST CAT EPITHELIA, 151.84 ,
53400831,RAST CHOCOLATE, 151.84 ,
53400833,RAST COCKROACH, 151.84 ,
53400836,RAST DOG DANDER, 151.84 ,
53400839,RAST D FARINAE, 151.84 ,
53400843,FLUID ALBUMIN, 81.15 ,
53400844,FLUID CHOLESTEROL, 82.83 ,
53400845,FLUID TRIGLYCERIDES, 115.03 ,
53400846,SYN FL TOT PROTEIN, 47.45 ,
53400847,SYNOVIAL LDH, 105.81 ,
53400848,HEPATIC FUNCTION PANEL, 381.71 ,
53400850,TSH IMMUNOGLOBULIN, 533.74 ,
53400854,RAST BANANA, 151.84 ,
53400856,RAST CELERY, 151.84 ,
53400858,RAST ORANGE, 151.84 ,
53400859,RAST PEACH, 151.84 ,
53400861,RAST TOMATO, 151.84 ,
53400862,"SERATONIN, SERUM", 332.09 ,
53400863,BASIC METABOLIC PROFILE, 306.75 ,
53400865,ANTI PHOSPHTDYL SERINE AB, 97.38 ,
53400868,INSULIN-LIKE GRTH F.BIND PROT3, 378.91 ,
53400869,RAST REGION 1 GRASSES, 151.84 ,
53400871,COMP DRUG SCREEN URINE, 133.66 ,
53400872,PREALBUMIN, 119.18 ,
53400874,COMPREHENSIVE METABOLIC PANEL, 283.80 ,
53400875,TROPONIN I QUANTITATIVE, 156.21 ,
53400877,RAPID HIV SCREEN, 143.24 ,
53400878,INSULIN ANTIBODIES, 266.90 ,
53400879,TRILEPTAL, 185.76 ,
53400882,INSULIN FREE, 103.28 ,
53400883,FACTOR V LEIDEN INTERP, 87.04 ,
53400886,NON GYN THIN PREP CON TECH, 651.28 ,
53400890,ANTI PARIETAL ANTIBODIES TITER, 237.41 ,
53400891,ANTISMOOTH MUSCLE TITER, 237.41 ,
53400892,MITOCHONDRIAL ANTIBODIES TITER, 237.41 ,
53400894,RUBELLA IGM AB, 158.38 ,
53400895,PROTHROMBIN IGG&IGM AB, 207.84 ,
53400897,FREE DILANTIN, 145.81 ,
53400898,TOPRIMATE, 160.95 ,
53400899,COUMADIN, 238.91 ,
53400900,GABAPENTIN, 238.91 ,
53400901,LAMOTRIGINE, 238.91 ,
53400902,LEVETIRACETAN, 238.91 ,
53400905,QUETIAPINE, 216.72 ,
53400908,DEXAMETHOSONE, 208.29 ,
53400909,CYC CITRULLINATED PEPTIDE IGG, 162.95 ,
53400910,ESTRIOL FREE, 394.55 ,
53400912,ANTI GLADIN ANTIBODIES, 182.30 ,
53400914,ACETYLCHOLINE RECEPTOR BINDING, 378.91 ,
53400916,BILE ACIDS FRACTIONATE, 73.39 ,
53400917,METANEPHRINE FRACTION PLASMA, 345.01 ,
53400918,ALPHA2 MACROGLOBULIN, 162.00 ,
53400921,THYROID BINDING GLOBULIN, 244.71 ,
53400922,TSH RECEPTOR ANTIBODY, 504.29 ,
53400924,JUNE GRASS, 151.84 ,
53400926,OAK, 151.84 ,
53400927,ORCHARD GRASS, 151.84 ,
53400928,PERENNIAL RYE GRASS, 151.84 ,
53400930,RAST ASPERGILLUS FUMAGATUS, 151.84 ,
53400933,RAST COW DANDER, 151.84 ,
53400934,RAST HORSE DANDER, 151.84 ,
53400935,RAST HOUSE DUST MITE, 151.84 ,
53400936,RAST LAMB'S QUARTER (WEED), 151.84 ,
53400938,RAST MUGWART (WEED), 151.84 ,
53400939,RAST RUSSIAN THISTLE (WEED), 151.84 ,
53400941,RAST STRAWBERRY, 151.84 ,
53400944,TIMOTHY GRASS, 151.84 ,
53400945,ALLERGEN-BIRCH, 151.84 ,
53400950,SACCHAROMYCES CERVISINE AB, 282.44 ,
53400951,HELICOBACTERPYLORI AG STOOL, 219.79 ,
53400952,ECHINOCOCCUS GRANULOSUS AB, 162.20 ,
53400953,RUBEOLA IGM ANTIBODY, 222.38 ,
53400954,SALMONELLA TOTAL AB'S, 45.77 ,
53400955,THYROID AUTOANTIBODIES, 452.47 ,
53400956,ENTEROVIRUS CULTURE, 847.44 ,
53400958,CMV DNA BY PCR, 174.00 ,
53400960,HIV-1 GENOTYPE, 554.47 ,
53400961,BKJC QUAL DNA BY PCR, 98.25 ,
53400962,TACROLIMUS, 294.10 ,
53400963,HTLV I/II AB BY EIA, 204.93 ,
53400964,HERPES SIMPLEX CSF IGG, 159.71 ,
53400965,HERPES SIMPLEX CSF IIGM, 145.18 ,
53400971,RAST ENGLISH PLANTAIN (WEED), 151.84 ,
53400974,RAST NUT GROUP, 151.84 ,
53400975,RAST PIGEON DROPPINGS, 151.84 ,
53400976,RAST SPINACH BAT, 151.84 ,
53400978,RAST WALNUT TREE, 151.84 ,
53400981,RAST YEAST, 151.84 ,
53400982,ANTI CENTOMERE AB, 249.25 ,
53400983,ADENOVIRUS ANTIBODY, 128.84 ,
53400984,SKELETAL MUSCLE ABS, 331.27 ,
53400985,THIN PREP PAP & HPV, 261.21 ,
53400986,TRANSGLUTAMINASE A, 182.30 ,
53400992,ANTI-ISLET CELL AB, 245.48 ,
53400993,ANTI GLOMERULAR BASE MEM, 204.88 ,
53400994,ANTI ENDOMYSIAL AB, 331.27 ,
53400999,HEP B CONFIRMATION, 133.03 ,
53401000,HEP A IGM, 205.00 ,
53401001,GLUT A DECARB 65 AB, 417.75 ,
53401002,GLUCOSE BY GTS, 82.08 ,
53401003,GLIPIZIDE  (GLUCOTROL), 238.91 ,
53401005,PLATELET COUNT ONLY CITRATE, 62.74 ,
53401006,PLATELET AB HEPARIN INDUCED, 350.03 ,
53401007,OVARIAN ANTIBODY, 302.93 ,
53401008,NATRIURETIC PEPTIDE PLASMA, 264.31 ,
53401011,MERCURY BLOOD, 203.50 ,
53401012,M TETRA FOL REDUCTASE DNA, 78.60 ,
53401014,INSULIN LIKE GROWTH FACTOR, 417.75 ,
53401017,HIV VIRAL LOAD," 1,725.44 ",
53401018,TRANSFUSE PEDI PK RC," 2,848.02 ",
53401020,TRANSFUSE RHIG," 2,848.02 ",
53401021,TRANSFUSION REACTION EVALUATIO, 167.82 ,
53401024,AMINO ACID FRACT PLASMA, 303.77 ,
53401025,BILE ACIDS FRACTIONATED, 80.87 ,
53401026,CARBOHYDRATE URINE, 30.81 ,
53401027,FACTOR XIII, 417.11 ,
53401031,B2 GLYCOPROTEIN I IGG AB, 163.39 ,
53401032,CARDIOLIPIN ANTIBODIES, 241.56 ,
53401033,PROT ELEC RANDOM VR, 253.76 ,
53401034,RUBELLA IGM AB, 174.62 ,
53401035,CMV DNA BY PCR, 89.13 ,
53401036,RAST WHITE ELM, 151.84 ,
53401038,HEPATITIS B E ANTIBODY, 186.34 ,
53401039,ANTINUCLEAR TITER, 166.46 ,
53401040,ASLO STREPTOCCAL AB  TITER, 97.12 ,
53401043,HIV WB-1, 283.44 ,
53401046,CULTURE FUNGUS BLOOD, 40.41 ,
53401047,CMV RAPID CULTURE, 139.81 ,
53401048,HSV CULTURE TYPE 1, 219.48 ,
53401049,HSV CULTURE TYPE 2, 438.64 ,
53401056,EMERGENCY TOXICOLOGY SCREEN, 199.41 ,
53401057,HLA-B27 ANTIGEN, 198.83 ,
53401069,MITOCHONDRIAL ANTIBODIES TITER, 201.26 ,
53401073,PSA FREE AND TOTAL, 292.29 ,
53401074,JAK 2 MUTATION QN LEUMETA, 165.94 ,
53401075,CANCER AG 72.4, 190.37 ,
53401076,M12 AUTOANIBODIES, 336.38 ,
53401077,VIRAL CULTURE BATTERY, 847.44 ,
53401078,CSF INGIND STENTHESIS RATE, 81.15 ,
53401080,LYMPHOCYTE CHRONIC MENINGITIS, 103.28 ,
53401081,GANGLIOSIDE GQ1B ANTIBODY IGG, 179.28 ,
53401084,ANTIFUNGAL SUSCEPTABIULITY, 98.28 ,
53401085,HEPATITIS B VIRUS GENOTYPE, 131.96 ,
53401088,A GLOUBULIN SEQUENCING, 273.03 ,
53401090,CATECHOLAMINES 24HR URINE, 320.57 ,
53401091,ERYTHROCYTE PROTOPORPHYRN, 88.69 ,
53401092,ANDENOSINE PEAMINASE PLEURAL F, 106.13 ,
53401095,ACTIVATED PROTEINE C, 161.60 ,
53401097,FATTY ACID PROFILE BAT, 536.83 ,
53401098,B HYDROXBUTYRARE, 95.64 ,
53401100,URINE SPECIFIC GRAVITY, 38.25 ,
53401102,APOLIPROTIEN B, 115.07 ,
53401108,RAST PEA BAT, 46.02 ,
53401115,RAST BRAZIL NUT B, 46.02 ,
53401116,RAST CARROT B, 46.02 ,
53401119,ALMOND NUT IMMUNOCAP PANEL, 41.74 ,
53401120,RAST SESAME SEEC BAT, 46.02 ,
53401123,IGG SWBCZCLASSES PANEL, 268.42 ,
53401124,BERMUDA GRASS IGE, 76.70 ,
53401125,RESP ALLERGY PROF REG1, 460.10 ,
53401126,ANTI MULLERIAN HORMONE, 230.06 ,
53401128,CHOCOLATE /CACAO IGG, 191.72 ,
53401137,GOLDONROD IGE, 115.03 ,
53401138,HEPATITIS E AB, 115.03 ,
53401143,CAT IGG ALLERGEN, 143.79 ,
53401144,PENCILLLOYL G IGE, 115.03 ,
53401150,VITAMIN B2, 230.07 ,
53401151,VITAMIN B3, 153.38 ,
53401154,SEROTONIN RELEASE ASSAY, 191.72 ,
53401158,PORK IGE, 115.03 ,
53401160,PROCALCITONIN, 191.72 ,
53401161,ADRENAL AB, 230.07 ,
53401162,FOOD ALLERGY PROFILE, 383.43 ,
53401163,CHILDHOOD ALLERGY PROFILE, 460.10 ,
53401164,CALCIUM; TOTAL, 88.59 ,
53401165,CHLORIDE SERUM, 89.41 ,
53401166,CHOLRIDE, 81.29 ,
53401167,CARBON DIOXIDE, 109.66 ,
53401168,PHOSPHATE, 66.80 ,
53401169,POTASSIUM SERUM, 74.81 ,
53401170,SODIUM SERUM, 82.83 ,
53401171,PHOSPHATASE ALKALINE, 101.22 ,
53401172,BUN, 82.83 ,
53401173,BUN, 82.83 ,
53401174,CREATININE SERUM, 125.77 ,
53401175,ALBUMIN, 82.83 ,
53401176,PROTEIN TOTAL SERUM, 128.90 ,
53401177,UREA NITROGEN, 82.83 ,
53401178,CBC AUTOMATED, 101.23 ,
53401179,ASSAY OF SERUM SODIUM, 82.83 ,
53401180,AUTOMATED RBC COUNT, 23.22 ,
53401181,"SYPHILIS NON-TREP QUAL ""RPR""", 115.03 ,
53401186,SHIGA-LIKE TOXIN AG EIA, 52.25 ,
53401187,VITAMIN K, 229.64 ,
53401190,COLLAGEN CROSS LINKS, 223.36 ,
53401191,ASSAY FOR CALPROTECTIN FECAL, 103.21 ,
53401193,CHEMILUMINESCENT ASSAY, 163.46 ,
53401194,LACTOFERRIN FECAL (QUAL), 164.21 ,
53401195,IMMUNOASSAY NONANTIBODY, 83.60 ,
53401196,MUTATION IDENT OLA/SBCE/ASPE, 70.14 ,
53401197,DRUG QUANT NES, 114.63 ,
53401198,COCAINE OR METABOLITE ASSAY, 108.69 ,
