The Bellevue Hospital Charge Listing Effective 01/01/2019,,
Description,Amount,
CS TIBIA NATURAL CEMENTED LEFT,"4,156.00 ",
CS TIBIA NATURAL CEMENTED RIGHT E,"4,156.00 ",
CS TIBIA NATURAL SIZE C RIGHT,"4,156.00 ",
CS TIBIA NATURAL STEMMED LEFT SIZE G,"4,156.00 ",
CS TIBIA PARTIAL CEMENTED SIZE E RIGHT,"8,775.00 ",
CS TIBIA RIGHT SIZE D,"4,155.60 ",
CS TIBIA RIGHT SIZE F,"4,155.60 ",
CS TIBIA STEMMED PERSONA RIGHT SIZE G,"4,156.00 ",
CS TIBIAL BLOCK 10MM SIZE 7,"4,870.00 ",
CS TIBIAL BLOCK SIZE 4,"4,638.00 ",
CS TIBIAL BLOCK SIZE 5.5MM THICK,"4,870.00 ",
CS TIBIAL BLOCK SIZE 8 5MM,"3,500.00 ",
CS TIBIAL BLOCK TIBIAL,"3,300.00 ",
CS TIBIAL COMP SIZE 2 UNICOMPARTMENTAL,"3,657.70 ",
CS TIBIAL COMPONENT AP WEDGED SIZE 3,"11,000.00 ",
CS TIBIAL COMPONENT AP WEDGED SIZE 5,"11,000.00 ",
CS TIBIAL COMPONENT SIZE 3,"3,657.70 ",
CS TIBIAL COMPONENT SIZE 3 UNI,"3,657.70 ",
CS TIBIAL COMPONENT SIZE 4,"3,657.70 ",
CS TIBIAL COMPONENT SIZE 4 AP WEDGED,"10,785.00 ",
CS TIBIAL COMPONENT SIZE 5 ROTATING HING,"16,214.00 ",
CS TIBIAL COMPONENT STEMMED WEDGED SIZE,"11,000.00 ",
CS TIBIAL HALF BLOCK AUGMENT RT LAT SIZE,"4,975.00 ",
CS TIBIAL HALF BLOCK AUGMENT SIZE 4 LT L,"4,975.00 ",
CS TIBIAL PLATE SIZE 6 NEXGEN,"11,000.00 ",
CS TIBIAL TRAY CADENCE 3X RIGHT,"20,230.00 ",
CS TIBIAL TRAY SIZE 3 RIGHT,"20,230.00 ",
CS TIGERSTICK,165.60 ,
CS TIGERTAPE 2MM,162.00 ,
CS TIGHTROPE,"1,890.00 ",
CS TIGHTROPE KNOTLESS REPAIR IMPLATE,"3,145.00 ",
CS TIGHTROPE KNOTLESS SYNDESMOSIS,"3,168.00 ",
CS TIMED K WIRE 100,86.00 ,
CS TIP CAP 4MM,3.90 ,
CS TIP DISP EAR SMALL,8.90 ,
CS TIP FRAZIER SUCTI,7.60 ,
CS TIP HI CAP COAXIAL OR,73.30 ,
CS TIP INSERTER UNI KNEE,504.00 ,
CS TIP INTRAMEDULARY,34.90 ,
CS TIP INTRAMEDULARY BRUS,63.80 ,
CS TIP REDI CURVED,8.60 ,
CS TIP SHOWER SPR SH,39.10 ,
CS TIP SPRAY FAN REPLACE,37.50 ,
CS TIP SUCTION WORMALD,179.00 ,
CS TL FULL RING 160 ORTHOFIX,"3,511.00 ",
CS TL FULL RING 180,"2,674.00 ",
CS TM MODULAR CUP 48MM,"4,553.70 ",
CS TM MODULAR CUP 50MM,"4,553.70 ",
CS TM MODULAR CUP 52MM,"4,553.70 ",
CS TM MODULAR CUP 54MM,"4,553.70 ",
CS TM MODULAR CUP 56MM,"3,438.20 ",
CS TM MODULAR CUP 60MM,"4,553.65 ",
CS TM MODULAR CUP 66MM,"4,553.65 ",
CS TM MODULAR CUP 68MM,"4,553.65 ",
CS TM MODULAR CUP 70MM,"4,553.65 ",
"CS TM MODULAR CUP, 58MM","4,553.65 ",
"CS TM MODULAR CUP, 62MM","4,553.65 ",
"CS TM MODULAR CUP, 64MM","4,553.65 ",
CS TOE JOINT NPC ML,"2,450.00 ",
CS TOPICAL ANES GEL,35.00 ,
CS TORP APPLEBAUM LRG,"1,531.40 ",
CS TORP APPLEBAUM SMALL,"1,516.60 ",
CS TORP DORNHOFFER MALLE,"1,157.60 ",
CS TORP DORRNHOFFER 8.25M,"1,704.00 ",
CS TORP OFF CENTER 4.0MM,"1,419.10 ",
CS TORP OFF CENTER 8.0MM,"1,419.10 ",
CS TORP RICH OFF CNTR 8.0,"1,419.10 ",
CS TOWEL OR 4PK,13.00 ,
CS TOWEL RADIOPAQUE OR,44.00 ,
CS TOWEL STERL FIELD,1.00 ,
CS TRABECULAR METAL GLENOID 40MM,"6,402.50 ",
CS TRABECULAR METAL SHELL 56MM SIZE KK,"9,575.00 ",
CS TRACH TUBE 6.0 UNCUFFED FENESTRATED,94.00 ,
CS TRACH TUBE 8DCT,170.00 ,
CS TRACTION BOOT,74.00 ,
CS TRANSDUCER,73.00 ,
CS TRANSDUCER ADULT,51.20 ,
CS TRANSDUCER INTRAU,97.30 ,
CS TRANSDUCER NEO OX,66.50 ,
CS TRAP DELEE MUCUS,10.90 ,
CS TRAP FINGER DBL LARGRE,93.60 ,
CS TRAP FINGER DBL MEDIUM,108.00 ,
CS TRAP FINGER DBL SMALL,93.60 ,
CS TRAP FINGER DBL XLARGE,93.60 ,
CS TRAP POLYP SUCTION,28.80 ,
CS TRAP SPECIMEN,6.00 ,
CS TRAY ABDOM CUSTOM PAC,200.00 ,
CS TRAY AMNIO,33.00 ,
CS TRAY BONE MARROW,123.60 ,
CS TRAY CATH INSERTION,7.20 ,
CS TRAY DRY SKIN SCRUB,15.00 ,
CS TRAY DURA PREP,28.00 ,
CS TRAY EPIDURAL BROWN,89.00 ,
CS TRAY EPIDURAL LATEX F,175.00 ,
CS TRAY EPIDURAL W TUOHY NEEDLE,68.00 ,
CS TRAY EPIDURL ANES,85.80 ,
CS TRAY FIRST FRACTURE 10,"7,875.00 ",
CS TRAY FOLEY 16FR,28.00 ,
CS TRAY FOLEY W METER,50.00 ,
CS TRAY GELSKIN SCRB,6.70 ,
CS TRAY GROSHONG 8.5FX15,511.20 ,
CS TRAY GROSHONG 8.5FX20,482.80 ,
CS TRAY IRRIGATION,3.00 ,
CS TRAY KYPHOPAK EXPRESS,"7,549.50 ",
CS TRAY LACERATION,23.00 ,
CS TRAY LUMBAR PUNCTURE,40.80 ,
CS TRAY MYELOGRAM,52.20 ,
CS TRAY OXFORD KNEE RIGHT MEDIAL,"2,845.00 ",
CS TRAY PED LUMBAR PUNC,52.70 ,
CS TRAY PERCUTANEOUS,166.00 ,
CS TRAY PNEUMOTHORAX,412.00 ,
CS TRAY PORT A CATH,"1,011.60 ",
CS TRAY PORT A CATH LOW P,"1,098.00 ",
CS TRAY PSI KNEE,"6,600.00 ",
CS TRAY PUDENDAL,24.20 ,
CS TRAY RIGHT MEDIAL TIBIAL SIZE A,"2,625.00 ",
CS TRAY RIGHT MEDIAL TIBIAL SIZE C,"5,625.00 ",
CS TRAY SHAVE PREP,2.80 ,
CS TRAY SNGL SHOT EPIDUR,42.20 ,
CS TRAY SPINAL ANEST,47.00 ,
CS TRAY STRGHT CATH,6.00 ,
CS TRAY SUTURE REMOVAL,4.30 ,
CS TRAY THORACENTESIS,199.00 ,
CS TRAY THORACENTHES,134.50 ,
CS TRAY TRIPLE LM LG,317.20 ,
CS TRAY TRIPLE LM SH,163.30 ,
CS TRAY UMBILICAL VESSEL,253.90 ,
CS TRAYS STERILE,25.00 ,
CS TRILOCY B1 SCREW 25MM,379.76 ,
CS TRILOGY 20 DEG LINER 32 X 48MM,"2,604.43 ",
CS TRILOGY 20 DEG LINER 32 X 50-52-54MM,"2,604.43 ",
CS TRILOGY 20 DEG LINER 32 X 60MM,"2,604.43 ",
CS TRILOGY 20 DEG LINER 32 X 62MM,"2,604.43 ",
CS TRILOGY 20 DEG LINER 32 X 64MM,"2,604.43 ",
CS TRILOGY 20 DEG LINER 32 X 66MM,"2,604.43 ",
CS TRILOGY 20 DEG LINER 32 X 68MM,"2,604.43 ",
CS TRILOGY 20 DEG LINER 32 X 70MM,"2,604.43 ",
CS TRILOGY 20 DEG LINER 32 X56MM,"2,604.43 ",
CS TRILOGY 20DEG LINER 32 X 58MM,"2,604.43 ",
CS TRILOGY B1 SCREW 20MM,379.76 ,
CS TRILOGY B1 SCREW 30MM,379.76 ,
CS TRILOGY B1 SCREW 35MM,379.76 ,
CS TRILOGY B1 SCREW 50MM,379.76 ,
CS TRILOGY B1 SCREW 60MM,379.76 ,
"CS TRILOGY B1 SCREW, 15MM",379.76 ,
"CS TRILOGY B1 SCREW, 40MM",379.76 ,
CS TRILOGY STD LINER 32 X 58MM,"3,549.89 ",
CS TRILOGY STD LINER 32 X 66MM,"3,549.89 ",
CS TRILOGY STD LINER 32 X 68MM,"3,549.89 ",
CS TRILOGY STD LINER 32 X 70MM,"3,549.89 ",
CS TRILOGY STD LINER 32X 60MM,"3,549.89 ",
CS TRILOGY STD LINER 32X 62MM,"3,549.89 ",
CS TRILOGY STD LINER 32X 64MM,"3,549.89 ",
CS TRILOGY STD LINER 32X48MM,"3,549.90 ",
CS TRILOGY STD LINER 32X50 52 54MM,"2,604.40 ",
CS TRILOGY STD LINER 32X56MM,"3,549.90 ",
CS TRIMED 3.2 CARTICAL LAG SCREW 16MM,576.00 ,
CS TRIMED 3.2 CARTICAL SCREW 12MM,486.00 ,
CS TRIMED 3.2 CORTICAL SCREW 12MM,486.00 ,
CS TRIMED 3.2 CORTICAL SCREW 14MM,486.00 ,
CS TRIMED K WIRE 65,86.00 ,
CS TRIMED SAW BLADE STRYKER COMPAT,461.00 ,
CS TRIMED TWIST DRILL,691.00 ,
CS TRIMED ULNAR OSTEOTOMY COMPRESSION PL,"3,300.00 ",
CS TRIVANTAGE ET TUBE 6.0,"1,200.00 ",
CS TROCAR  ENDO 5,76.00 ,
CS TROCAR 1.1 KWIRE 100MM,108.00 ,
CS TROCAR 12MM,117.50 ,
CS TROCAR KYPHON EXPRESS TNTRO,"1,440.00 ",
CS TROCAR Z THREAD 12X100MM,113.70 ,
CS TROCAR Z THREAD 5X100,79.60 ,
CS TRORACIC VENT,912.00 ,
CS TRY FOLEY CATH 16FRSIL,35.30 ,
CS TRY KYPHON EXP ADD,"5,029.50 ",
CS TRY SUPRAPUBIC CATH 12F,299.00 ,
CS TTC FUSION NAIL,"28,125.00 ",
CS TUB VAC BLUE FLUE,7.40 ,
CS TUBE BLUE SILI DONALD,26.20 ,
CS TUBE C W STOPCOC,45.40 ,
CS TUBE CONNECT DRAIN BG,40.50 ,
CS TUBE CONNECTING CTA,18.00 ,
CS TUBE CORRIGATED,1.80 ,
CS TUBE DOBBHOFF 8FRX43,45.50 ,
CS TUBE EAR,62.60 ,
CS TUBE EAR T TUBE,105.30 ,
CS TUBE EMG ET 7.0,"1,166.00 ",
CS TUBE ENDO 10,6.30 ,
CS TUBE ENDO 2.0,3.80 ,
CS TUBE ENDO 2.5,3.80 ,
CS TUBE ENDO 3.0,4.00 ,
CS TUBE ENDO 3.5,4.00 ,
CS TUBE ENDO 4.0 CUFFED,5.60 ,
CS TUBE ENDO 4.0 MM,3.80 ,
CS TUBE ENDO 4.5,3.80 ,
CS TUBE ENDO 5.0,3.80 ,
CS TUBE ENDO 5.5,3.80 ,
CS TUBE ENDO 5.5 CUFFED,6.00 ,
CS TUBE ENDO 6.0,6.00 ,
CS TUBE ENDO 6.0 UNCUFFD,3.80 ,
CS TUBE ENDO 6.5,6.00 ,
CS TUBE ENDO 7.0,6.00 ,
CS TUBE ENDO 7.5,6.00 ,
CS TUBE ENDO 8.0,6.00 ,
CS TUBE ENDO 8.5,6.00 ,
CS TUBE ENDO 9.0,6.00 ,
CS TUBE ENDO CUFFED,4.90 ,
CS TUBE ENDOTRAC 7.5,19.40 ,
CS TUBE ENDOTRAC NAS 6.5,19.40 ,
CS TUBE ENDOTRAC NAS 7.0,19.40 ,
CS TUBE ENDOTRAC ORA 7.0,29.90 ,
CS TUBE ENDOTRAC ORA 7.5,29.90 ,
CS TUBE ENDOTRAC ORA 8.0,29.90 ,
CS TUBE ENDOTRAC ORA 8.5,29.90 ,
CS TUBE ENDOTRACH NIM EM6,874.80 ,
CS TUBE ENDOTRACH NIM EM7,874.80 ,
CS TUBE ENDOTRACHAEL 6.0MM,"1,200.00 ",
CS TUBE ENDOTRACHEAL 6MM,"1,198.00 ",
CS TUBE ENDOTROL,29.00 ,
CS TUBE ENTERAL FEED,43.60 ,
CS TUBE ER 5.0 RAE TYPE,14.00 ,
CS TUBE ET 4.5 RAE TYPE,12.90 ,
CS TUBE ET 5.0 CUFFED,6.00 ,
CS TUBE ET 5.0 CUFFED RAE TYPE,25.00 ,
CS TUBE ET 5.5 CUFFED RAE TYPE,25.00 ,
CS TUBE ET 6.0 CUFFED RAE TYPE,25.00 ,
CS TUBE ET 7.0 RAE TYPE,21.10 ,
CS TUBE ET 7.5 RAE TYPE,29.90 ,
CS TUBE ET 8MM BIOTRONIC,"1,198.40 ",
CS TUBE ET NIM TRIVANTAGE,"1,305.00 ",
CS TUBE ET TRIVANTAGE NIM 8.0,"1,631.00 ",
CS TUBE FEED 5FR 16IN,5.00 ,
CS TUBE FEED 5FR 36IN,4.10 ,
CS TUBE FEED 8FR 42IN,16.60 ,
CS TUBE FEEDING 8F16,5.00 ,
CS TUBE FLEX 6.0,9.20 ,
CS TUBE FLEX 6.5,9.20 ,
CS TUBE FLEX 7.0,9.20 ,
CS TUBE FLEX 7.5,9.20 ,
CS TUBE FLEX 8.0,9.20 ,
CS TUBE GASTRIC LAV,16.60 ,
CS TUBE GASTRO EN 18,290.70 ,
CS TUBE GASTRO EN 22,290.70 ,
CS TUBE J 12 FR,314.50 ,
CS TUBE J 9 FR,333.00 ,
CS TUBE JEJUNAL GAST WIR,306.00 ,
CS TUBE JEJUNAL GAST12F,234.00 ,
CS TUBE JEJUNAL GASTRIC,244.80 ,
CS TUBE LARYNGECTOMY 10L,187.20 ,
CS TUBE LARYNGECTOMY 8LG,187.20 ,
CS TUBE LASER TRACH 4.0,453.60 ,
CS TUBE LASER TRACH 4.5,550.80 ,
CS TUBE LASER TRACH 6.5,572.40 ,
CS TUBE LASER TRACH 7.0,500.40 ,
CS TUBE LASER TRACH 7.5,550.80 ,
CS TUBE LASER TRACH 8.0,576.00 ,
CS TUBE LAVAGE 32FR,26.80 ,
CS TUBE LEVAGE 28FR,32.20 ,
CS TUBE MEGA PT GAST 20F,68.50 ,
CS TUBE MINE KAM SUC CUR,223.00 ,
CS TUBE MOSS GASTRO 18IN,882.00 ,
CS TUBE MOSS GASTRO 7 IN,90.00 ,
CS TUBE NASOGASTRIC 16F,15.30 ,
CS TUBE OXYGEN,0.90 ,
CS TUBE PONSKY PEG,"1,102.00 ",
CS TUBE RECTAL,2.30 ,
CS TUBE SALEM SMP 16,19.70 ,
CS TUBE SALEM SMP 18,19.70 ,
CS TUBE SALM SUMP 10,5.70 ,
CS TUBE SALM SUMP 12,5.10 ,
CS TUBE SET ARTHRO INFLOW,171.00 ,
CS TUBE SMOKE EVAC,67.00 ,
CS TUBE SUCTION YANK,1.00 ,
CS TUBE T 10FR,44.00 ,
CS TUBE T 12FR,44.00 ,
CS TUBE T 14FR,44.00 ,
CS TUBE T 16FR,28.00 ,
CS TUBE T 18FR,24.20 ,
CS TUBE THOW SHORT,720.00 ,
CS TUBE TRACH 10,227.30 ,
CS TUBE TRACH 10CFS,171.00 ,
CS TUBE TRACH 4,227.00 ,
CS TUBE TRACH 4CFS,171.00 ,
CS TUBE TRACH 4DCT,170.00 ,
CS TUBE TRACH 6,227.30 ,
CS TUBE TRACH 6 PERC,178.10 ,
CS TUBE TRACH 6CFS,166.10 ,
CS TUBE TRACH 6DCFS,"3,250.00 ",
CS TUBE TRACH 8,220.70 ,
CS TUBE TRACH 8 PERC,188.10 ,
CS TUBE TRACH LASER 5.0,432.00 ,
CS TUBE TRACH LASER 5.5,446.40 ,
CS TUBE TRACH LASER 6.0,529.20 ,
CS TUBE TRACH RAE 4.5MM CUFFED MURPHY,24.00 ,
CS TUBE TRACHE UNCUFF 4,162.00 ,
CS TUBE TRACHE UNCUFF 6,162.00 ,
CS TUBE TRACHEOSTOMY 10DC,144.70 ,
CS TUBE TRACHEOSTOMY 8CFS,171.00 ,
CS TUBE TUM E VAC GASTIC,19.80 ,
CS TUBE VENTILATION,90.60 ,
CS TUBE VINYL CONNECTING,27.90 ,
CS TUBE WEL SUCTION,16.20 ,
CS TUBING 60IN COIL,10.40 ,
CS TUBING ARTHOROSCOPY A,219.60 ,
CS TUBING CO2,15.40 ,
CS TUBING COIL IV CONTRAS,35.60 ,
CS TUBING COL SET,23.00 ,
CS TUBING CONNECTOR,2.10 ,
CS TUBING DSE,8.00 ,
CS TUBING FLEXIBLE S,73.00 ,
CS TUBING KLEIN PUMP,43.00 ,
CS TUBING MALIS BIPOLAR,222.00 ,
CS TUBING PUMP W ELECTRO,33.80 ,
CS TUBING REDUCER,4.80 ,
CS TUBING SMOKE EVAC SUC,99.00 ,
CS TUBING STAND 9FT,26.30 ,
CS TUBING STERILE ASPIRATION,30.00 ,
CS TUBING STRYKER ARTHOS,236.70 ,
CS TUBING SUCTION 1.5',1.10 ,
CS TUBING SUCTION 12,3.80 ,
CS TUBING SUCTION 6FT,1.20 ,
CS TUE ENDOTRACH NIM EM8,874.80 ,
CS TVT ADVANTAGE SYSTEM,"3,825.00 ",
CS UNI GLENOID 2.5MM DRILL,648.00 ,
CS UNI GLENOID BASEPLATE SMALL,"6,125.00 ",
CS UNI GLENOID CENTRAL SCREW 20MM,612.00 ,
CS UNI GLENOID CENTRAL SCREW 25MM,612.00 ,
CS UNI GLENOID PERIPHERAL LOCKING SCREW,432.00 ,
CS UNI GLENOID PERIPHERIAL LOCKING SCREW,432.00 ,
CS UNI REVERSE GLENOID 36 LAT,"5,250.00 ",
CS UNI REVERSE STEM S 5 MONOBLOCK 135,"9,188.00 ",
CS UNIT AEROTECH I AERO,99.00 ,
CS UNIVERSAL REVERSE GLENO 36,"7,500.00 ",
CS UNIVERSAL REVERSE SPACER 36  6,"1,764.00 ",
CS UNNA BOOT GELOCAST 4X10,20.20 ,
CS URINARY BAG 2000C,11.00 ,
CS URINARY BAG 4000C,21.10 ,
CS URINE METER,28.00 ,
CS UROLOC II W BALL FIL,55.10 ,
CS UROVAC DISP,71.90 ,
CS UTERINE RUMI BLUE,197.00 ,
CS UTERINE RUMI GREEN,197.00 ,
CS V FX II KEYLS SHTTUBE PALTE 135DX4HL,"1,658.90 ",
CS V FX II KEYLS SHTTUBE PLATE 135DX5HL,"1,945.40 ",
CS V FX II KEYLS TUBE PLATE 130D X 4 HL,"2,042.00 ",
CS V FX II KEYLS TUBE PLATE 130D X 5 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 130D X 6 HL,"2,177.28 ",
CS V FX II KEYLS TUBE PLATE 130D X 8 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 135D X 4 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 135D X 5 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 135D X 6 HL,"2,177.28 ",
CS V FX II KEYLS TUBE PLATE 135D X 8 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 140D X 4 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 140D X 5 HL,"2,177.28 ",
CS V FX II KEYLS TUBE PLATE 140D X 8 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 145D X 8 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 145D X6 HL,"2,177.28 ",
CS V FX II KEYLS TUBE PLATE 145DX4HL,"1,658.90 ",
CS V FX II KEYLS TUBE PLATE 145DX5HL,"1,658.90 ",
CS V FX II KEYLS TUBE PLATE 150D X 4 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 150D X 5 HL,"1,658.88 ",
CS V FX II KEYLS TUBE PLATE 150D X 6 HL,"2,177.28 ",
CS V FX II SHT TUBE PLATE 130DX4HL,"1,658.90 ",
CS V FX II SHT TUBE PLATE 130DX5HL,"1,658.90 ",
CS V FX II SHT TUBE PLATE 135D X 5 HL,"1,658.88 ",
CS V FX II SHT TUBE PLATE 140D X 4 HL,"1,658.88 ",
CS V FX II SHT TUBE PLATE 145D X 4 HL,"1,658.88 ",
CS V FX II SHT TUBE PLATE 145D X 5 HL,"1,658.88 ",
CS V FX II SHT TUBE PLATE 150 D X 4 HL,"1,658.88 ",
CS V FX II SHT TUBE PLATE 150D X 5 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 130D X 2 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 130D X 3 HL,"2,042.00 ",
CS V FX II STD TUBE PLATE 130D X 5 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 135D X 5 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 135D X 8HL,"2,177.28 ",
CS V FX II STD TUBE PLATE 135DX2HL,"1,658.90 ",
CS V FX II STD TUBE PLATE 135DX3HL,"2,042.00 ",
CS V FX II STD TUBE PLATE 135DX4HL,"2,041.90 ",
CS V FX II STD TUBE PLATE 140D X 2 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 140D X 3 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 140D X 4 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 140D X 5 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 145D X 2 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 150D X 2 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 150D X 3 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 150D X 4 HL,"1,658.88 ",
CS V FX II STD TUBE PLATE 150D X 5 HL,"1,658.88 ",
CS V FX KEYLS 90D X 8 HL,"1,866.24 ",
CS V FX KEYLS 90D X11 HL,"2,047.68 ",
CS V FX KEYLS 95D X 8 HL,"1,866.24 ",
CS V FX KEYLS 95D X11 HL,"2,047.68 ",
CS V PATCH C QUR 8CMX8CM,"2,293.00 ",
CS VAL SCREW TI 2.4X14MM,504.00 ,
CS VALVE ANTI REFLUX,22.50 ,
CS VALVE BIOPSY,21.00 ,
CS VALVE HEIMLIC CHST DR,76.20 ,
CS VALVE HEIMLICH,23.40 ,
CS VALVE SUCTION,47.00 ,
CS VALVE TWO WAY,3.90 ,
CS VALVE VITASHIELD V LIN,4.80 ,
CS VALVULOTOME EXPANDABL,"1,190.00 ",
CS VASELINE GZ .5 X 72,4.20 ,
CS VASELINE GZ 3X9,2.00 ,
CS VEIN STRIPPER,79.60 ,
CS VENT HUMID II W PORT,10.50 ,
CS VERSAJET II PLUS 15 DEGREE 14MM,"4,904.00 ",
CS VERSASTEP 5MM,246.10 ,
CS VESSEL LOOP BLUE,6.30 ,
CS VESSEL LOOP RED,5.90 ,
CS VEST COMPRESSION 40 BLACK,181.40 ,
CS VEST COMPRESSION 42 BLACK,181.40 ,
CS VEST COMPRESSION BLACK 36,140.00 ,
CS VEST SPU WRAP LARGE,242.80 ,
CS VEST SPU WRAP XLARGE,246.00 ,
CS VEST STRESS TEST NET,8.40 ,
CS VEST WRAP MED,249.70 ,
CS V-FX DEYLS 95D X 14 HL,"2,151.36 ",
CS V-FX II SHT TUBE PLATE 140D X 5 HL,"1,658.88 ",
CS V-FX II STD TUBE PLATE 130 D X 4 HL,"1,658.88 ",
CS V-FX II STD TUBE PLATE 135D X 10 HL,"2,177.28 ",
CS V-FX II STD TUBE PLATE 145D X 3 HL,"1,658.88 ",
CS V-FX II STD TUBE PLATE 145D X 4 HL,"1,658.88 ",
CS V-FX II STD TUBE PLATE 145D X 5 HL,"1,658.88 ",
CS WAFER NATURA 2.25,7.70 ,
CS WAFER STOMA 4IN,15.10 ,
CS WAFER STOMAHESIVE,16.90 ,
CS WAFER STOMAHESIVE,8.90 ,
CS WAFER W 2.25 FLG,14.40 ,
CS WAND SPR TURBOVAC 90,912.00 ,
CS WAND SUPER MULTIVAC 50,923.00 ,
CS WASHER 2.7 3.5 4.0,265.00 ,
CS WASHER 2.7MM,265.00 ,
CS WASHER 2MM,24.00 ,
CS WASHER 4.5MM SCREW,214.00 ,
CS WASHER 5.5 SCREW,214.00 ,
CS WASHER 6.5MM,108.54 ,
CS WASHER 7.0MM TI,126.00 ,
CS WASHER CONICAL ORTHOFIX,175.00 ,
CS WASHER FOR 6.5 TO 7.3.. SCREW,491.00 ,
CS WASHER LARGE,123.95 ,
CS WASHER MINI,123.95 ,
CS WASHER SMALL,82.62 ,
CS WASHER SMALL,82.62 ,
CS WASHER SURFIX 3.5MM,609.00 ,
CS WASHERS,98.03 ,
CS WASHERS 10MM,103.68 ,
CS WATER STERILE FOR INHALATION 1000ML,7.00 ,
CS WATER STERILE FOR INHALATION 2000ML,14.00 ,
CS WEDGE COTTON ALLOGRAFT,"4,763.00 ",
CS WEDGE UNICORTAL 6MM,"5,100.00 ",
CS WEDGE UNICORTAL 8MM,"6,375.00 ",
CS WICK EAR,1.40 ,
CS WICK FEMORAL,92.80 ,
CS WIRE 0.35X4 INCH,76.00 ,
CS WIRE CERCLAGE 1.0X280,25.90 ,
CS WIRE CERCLAGE 1.25X600,38.90 ,
CS WIRE DRILL TIP 1.1X150MM,237.00 ,
CS WIRE K 1.0MM,37.00 ,
CS WIRE K 4X.035,22.70 ,
CS WIRE K 4X.045,30.70 ,
CS WIRE K 4X.065,35.00 ,
CS WIRE K 9X.035,22.70 ,
CS WIRE K 9X.045,22.70 ,
CS WIRE K 9X.062,35.00 ,
CS WIRE K ASNIS 2.0 8MM,198.00 ,
CS WIRE K THRD 9X.035,53.90 ,
CS WIRE K THRD 9X.062,53.90 ,
CS WIRE KIRSCHNER 1.6MM,180.00 ,
CS WIRE MINI OLIVE,122.40 ,
CS WIRE OLIVE,346.00 ,
CS WIRE OLIVE ORTHOFIX,617.00 ,
CS WIRE SMOOTH ORTHOFIX,413.00 ,
CS WOUND VAC PER DAY,225.00 ,
CS WOUND VAC VIA 7 DAY KIT,"2,606.00 ",
CS WRAP 4IN ACE W VALCRO,4.00 ,
CS WRAP 4IN COBAN S/AD,9.00 ,
CS WRAP COBAN 1IN,2.20 ,
CS WRAP COBAN 2IN,4.00 ,
CS WRAP COBAN 3IN,4.60 ,
CS WRAP COBAN 6IN,15.20 ,
CS WRAP ELASTIC 6INX10YD W VELCRO,5.00 ,
CS WRAP ELASTIC 6INX5YD W VELCRO,3.00 ,
CS WRAP ELASTIC LF4IN,12.90 ,
CS WRENCH ACCESS 5873W,162.00 ,
CS WRENCH HEX 7.5 CM,126.00 ,
CS WRENCH TORQUE,468.00 ,
CS YANKAUER LIGHTED BULB,990.00 ,
CS YANKAUER LIGHTED TAPER,990.00 ,
CS ZIP WIRE .035,135.80 ,
CS ZIP WIRE 0.025,198.00 ,
CSFIBERS DEMINERALIZED 5.0CC,"2,500.00 ",
IV SOL .9% NS 250CC GLAS,13.00 ,
LCDCP 8 HOLE STRAIGHT 2.4MM,"1,134.00 ",
RA 11 PROBE GUIDE HANDHE,26.50 ,
RA BOTTLE UROVIST,16.40 ,
RA CYSTO UROV 090190,23.40 ,
RA NEEDLE KOPANS,42.10 ,
RA PROBE 11G STEREO,859.50 ,
RA PROBE 11G W TUBING,828.00 ,
RA PROBE 8GA MAMTOME,720.00 ,
RD 8 PROBE GUIDE STEREO,27.00 ,
RD BIOPSY SITE MARKER 1,298.80 ,
RD BIOPSY SITE MARKER 2,297.80 ,
RD PROBE 8 GAUGE STEREO,932.00 ,
RD PROBE AND VAC SET 8G,883.60 ,
RD SITE MARKER 8G,297.80 ,
RD SLEEVE VARIABLE APETUR,54.00 ,
SPECIALTY BED CLINITRON PER DAY,340.00 ,
SPECIALTY BED HD PER DAY,360.00 ,
SU 0 J270H,7.50 ,
SU 0 Y946H  6000192,9.00 ,
SU 1588H,16.70 ,
SU 1629H,8.10 ,
SU 1667G,14.10 ,
SU 1697H,15.10 ,
SU 1745G,90.00 ,
SU 1824H  6003875,13.00 ,
SU 2.0 G 123H 6000283,13.00 ,
